"sample_index","timestamp_utc","elapsed_seconds","pid","parent_pid","process_name","instance_key","event","cpu_total_seconds","working_set_bytes","private_bytes","error"
"30","2026-09-12T05:21:06.8003686Z","51.108482","14372","65944","UnrealEditor","14372:639247872156630390","Sample","72.953125","3420704768","3819155456",""
"30","2026-09-12T05:21:06.8538826Z","51.161998","90976","14372","EpicWebHelper.exe","90976:639247872455514780","Sample","1.328125","79347712","43962368",""
"30","2026-09-12T05:21:06.9340605Z","51.242180","51796","14372","EpicWebHelper.exe","51796:639247872455315220","Sample","0.062500","38912000","24367104",""
"30","2026-09-12T05:21:06.9749924Z","51.283108","117716","14372","EpicWebHelper.exe","117716:639247872454980310","Sample","0.046875","28721152","19480576",""
"30","2026-09-12T05:21:07.0023084Z","51.310425","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.968750","55492608","223354880",""
"30","2026-09-12T05:21:07.0274267Z","51.335543","120408","14372","EpicWebHelper.exe","120408:639247872454799320","Sample","0.218750","41553920","21889024",""
"31","2026-09-12T05:21:08.9716788Z","53.279816","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9797632","1544192",""
"31","2026-09-12T05:21:08.9973510Z","53.305487","102484","14372","EpicWebHelper.exe","102484:639247872454443300","Sample","0.421875","89767936","96006144",""
"31","2026-09-12T05:21:09.0232257Z","53.331364","14372","65944","UnrealEditor","14372:639247872156630390","Sample","77.250000","3420344320","3818635264",""
"31","2026-09-12T05:21:09.0505182Z","53.358655","90976","14372","EpicWebHelper.exe","90976:639247872455514780","Sample","1.515625","79958016","44650496",""
"31","2026-09-12T05:21:09.0767339Z","53.384871","51796","14372","EpicWebHelper.exe","51796:639247872455315220","Sample","0.062500","38912000","24367104",""
"31","2026-09-12T05:21:09.1010763Z","53.409214","117716","14372","EpicWebHelper.exe","117716:639247872454980310","Sample","0.046875","28721152","19480576",""
"31","2026-09-12T05:21:09.1259036Z","53.434041","46004","14372","zenserver.exe","46004:639247872218402360","Sample","1.000000","55521280","223358976",""
"31","2026-09-12T05:21:09.1516113Z","53.459749","120408","14372","EpicWebHelper.exe","120408:639247872454799320","Sample","0.218750","41553920","21889024",""
"32","2026-09-12T05:21:10.9666151Z","55.274772","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9797632","1544192",""
"32","2026-09-12T05:21:10.9919150Z","55.300072","102484","14372","EpicWebHelper.exe","102484:639247872454443300","Sample","0.453125","89776128","96010240",""
"32","2026-09-12T05:21:11.0166006Z","55.324758","14372","65944","UnrealEditor","14372:639247872156630390","Sample","80.781250","3420364800","3818635264",""
"32","2026-09-12T05:21:11.0407924Z","55.348957","90976","14372","EpicWebHelper.exe","90976:639247872455514780","Sample","1.703125","80523264","45129728",""
"32","2026-09-12T05:21:11.0671630Z","55.375321","51796","14372","EpicWebHelper.exe","51796:639247872455315220","Sample","0.062500","38912000","24367104",""
